# PDB Code: 1ua7
# Beta: 100.0
# Mutation Method: Point Mutation
# Embedding Difference Method: None
# Reference File: 1ua7.pdb
# Protected Indices: "[173, 205, 266]"
PDB File,Iteration,Delta E,Emut,Hamming Distance,RMSD_pymol_global,RMSD_pymol_local,RMSD_stef_global,RMSD_stef_local,TM_score_global,TM_score_local,lDDT_global,lDDT_local
msk_1ua7_beta_100.0_seq_180.pdb,1810,0.0024866660435993,0.4029281536738077,380,18.87462043762207,0.9143615961074829,19.486092,0.91436166,,,0.196451509312781,0.8333333333333333
msk_1ua7_beta_100.0_seq_181.pdb,1820,0.0021734635035196,0.3995136022567749,380,22.397817611694336,1.053999423980713,24.796991,1.0539997,,,0.20749036608863197,0.8333333333333333
msk_1ua7_beta_100.0_seq_182.pdb,1830,0.0026907523473103,0.4058995644251505,380,21.60287094116211,0.8744717836380005,23.101494,0.8744719,,,0.20622591522157996,0.9166666666666666
msk_1ua7_beta_100.0_seq_183.pdb,1840,-0.0007051229476928,0.395895799001058,380,20.752397537231445,0.9583367109298706,23.595942,0.9583366,,,0.20728965960179832,0.8333333333333333
msk_1ua7_beta_100.0_seq_184.pdb,1850,0.0017628669738769,0.3889151414235433,380,21.498397827148438,1.023948073387146,24.78197,1.0239482,,,0.2062058445728966,0.8333333333333333
msk_1ua7_beta_100.0_seq_185.pdb,1860,-1.9510587056514872e-05,0.3714387814203898,379,20.969446182250977,1.0011634826660156,21.6512,1.0011635,,,0.2024727039177906,0.8333333333333333
msk_1ua7_beta_100.0_seq_186.pdb,1870,0.0022705793380737,0.3684881528218587,378,21.48652458190918,1.0051589012145996,22.629097,1.005159,,,0.1986592806679512,0.75
msk_1ua7_beta_100.0_seq_187.pdb,1880,0.0007416009902954,0.3713792562484741,378,21.12012481689453,0.9208487272262573,23.210705,0.9208488,,,0.20857418111753373,0.75
msk_1ua7_beta_100.0_seq_188.pdb,1890,0.0006009340286254,0.3799779017766317,378,21.959508895874023,1.0515660047531128,24.24805,1.051566,,,0.2071290944123314,0.75
msk_1ua7_beta_100.0_seq_189.pdb,1900,-0.0015204350153604,0.3762473662694295,377,19.851564407348633,1.1109815835952759,21.573103,1.1109817,,,0.20885517019910083,0.75
msk_1ua7_beta_100.0_seq_19.pdb,200,0.008029301961263,0.1239407857259115,147,3.527028799057007,0.28349992632865906,4.1958156,0.28349978,,,0.7106615285806037,1.0
msk_1ua7_beta_100.0_seq_190.pdb,1910,0.0084296067555744,0.3930067221323648,377,19.81993865966797,0.9210933446884155,20.726109,0.9210933,,,0.21001926782273603,0.8333333333333333
msk_1ua7_beta_100.0_seq_191.pdb,1920,0.0109204053878784,0.4024210770924886,377,19.543914794921875,0.8180059194564819,20.172338,0.8180059,,,0.20987877328195248,0.8333333333333333
msk_1ua7_beta_100.0_seq_192.pdb,1930,0.0040953954060871,0.3976909319559732,379,23.930143356323242,0.8121237754821777,26.29863,0.8121236,,,0.19753532434168272,0.8333333333333333
msk_1ua7_beta_100.0_seq_193.pdb,1940,0.004143198331197,0.3989420334498087,380,22.789358139038086,0.8780547380447388,25.187489,0.87805474,,,0.1998635195889531,0.8333333333333333
msk_1ua7_beta_100.0_seq_194.pdb,1950,-0.0021183888117473,0.3683315912882486,380,22.41510581970215,0.6068208813667297,24.959503,0.6068208,,,0.19558847141939628,0.9166666666666666
msk_1ua7_beta_100.0_seq_195.pdb,1960,-0.0029417673746744,0.3718801339467367,380,21.958627700805664,0.9638924598693848,24.79767,0.9638924,,,0.20403821451509313,0.75
msk_1ua7_beta_100.0_seq_196.pdb,1970,0.0010357697804769,0.3770902156829834,380,23.746660232543945,0.8381860256195068,26.200228,0.838186,,,0.2049213230571612,0.75
msk_1ua7_beta_100.0_seq_197.pdb,1980,0.0034010410308837,0.3764991760253906,381,23.999183654785156,0.648534893989563,26.51738,0.6485349,,,0.2012684649967887,0.9166666666666666
msk_1ua7_beta_100.0_seq_198.pdb,1990,-0.001574158668518,0.3594022194544474,381,24.931028366088867,0.5750402212142944,27.02831,0.57504034,,,0.19631101477199742,0.9166666666666666
msk_1ua7_beta_100.0_seq_199.pdb,2000,0.0025992393493652,0.3721934954325357,381,24.28314971923828,0.6533757448196411,27.050785,0.6533757,,,0.19635115606936415,0.8333333333333333
msk_1ua7_beta_100.0_seq_2.pdb,30,0.0004308223724365,0.0092379252115885,29,0.8208106160163879,0.09747256338596344,0.8745828,0.097472504,,,0.9646355170199101,1.0
msk_1ua7_beta_100.0_seq_20.pdb,210,0.0014421939849853,0.133365790049235,154,4.074429035186768,0.33137214183807373,4.393289,0.33137196,,,0.6862756904303147,1.0
msk_1ua7_beta_100.0_seq_200.pdb,2010,-0.0043195088704427,0.3814020156860351,381,22.753948211669922,0.7514720559120178,25.289309,0.75147206,,,0.20771114322414902,0.75
msk_1ua7_beta_100.0_seq_201.pdb,2020,0.0278927882512409,0.3995634714762369,381,22.34552764892578,0.7722695469856262,24.721054,0.77226996,,,0.2119460500963391,0.6666666666666666
msk_1ua7_beta_100.0_seq_202.pdb,2030,0.0104278326034545,0.3877585331598917,381,22.159400939941406,0.7931979298591614,25.412378,0.7931984,,,0.21198619139370584,0.6666666666666666
msk_1ua7_beta_100.0_seq_203.pdb,2040,0.0027886629104614,0.4027689297993978,379,22.851459503173828,0.8204541206359863,26.488993,0.8204542,,,0.2006663455362877,0.9166666666666666
msk_1ua7_beta_100.0_seq_204.pdb,2050,-0.0097544987996419,0.3875085512797037,379,23.456079483032227,0.8264036178588867,25.616611,0.8264036,,,0.19448458574181116,0.8333333333333333
msk_1ua7_beta_100.0_seq_205.pdb,2060,-1.9073486328125e-06,0.3939763704935709,381,23.321321487426758,1.1370254755020142,24.390465,1.1370256,,,0.1947053628773282,0.75
msk_1ua7_beta_100.0_seq_206.pdb,2070,-0.00353209177653,0.3960882822672525,381,22.331401824951172,0.9187410473823547,25.17654,0.91874105,,,0.19609023763648042,0.8333333333333333
msk_1ua7_beta_100.0_seq_207.pdb,2080,0.0067360003789266,0.3994197448094686,380,23.758310317993164,0.927445650100708,24.9771,0.9274457,,,0.1974349710982659,0.8333333333333333
msk_1ua7_beta_100.0_seq_208.pdb,2090,0.006013790766398,0.3995826244354248,378,20.8736515045166,1.5298008918762207,21.862991,1.5298011,,,0.19183526011560692,0.75
msk_1ua7_beta_100.0_seq_209.pdb,2100,-0.0020721753438314,0.3976268768310547,378,22.094791412353516,1.624898910522461,22.295998,1.624899,,,0.19629094412331408,0.5833333333333333
msk_1ua7_beta_100.0_seq_21.pdb,220,0.006555398305257,0.1479951540629068,159,4.134243965148926,0.24542152881622314,4.990455,0.24542151,,,0.6644187540141298,1.0
msk_1ua7_beta_100.0_seq_210.pdb,2110,0.0937695900599162,0.4831337531407674,378,20.716949462890625,2.2625529766082764,22.006262,2.262553,,,0.1969131342324984,0.5833333333333333
msk_1ua7_beta_100.0_seq_211.pdb,2120,0.0011276006698608,0.4085664351781209,378,20.175657272338867,1.913449764251709,23.276888,1.91345,,,0.19326027617212588,0.5
msk_1ua7_beta_100.0_seq_212.pdb,2130,0.0002514123916625,0.3976475397745768,378,24.140867233276367,0.9773924946784973,25.53708,0.9773925,,,0.1923169556840077,0.6666666666666666
msk_1ua7_beta_100.0_seq_213.pdb,2140,-0.0006728967030843,0.3904762268066406,378,25.19381332397461,1.4326225519180298,26.809155,1.4326227,,,0.18747992935131663,0.5
msk_1ua7_beta_100.0_seq_214.pdb,2150,0.0045376618703205,0.3904499212900797,376,25.08527374267578,0.7682111263275146,27.427206,0.76821107,,,0.19127328195247273,1.0
msk_1ua7_beta_100.0_seq_215.pdb,2160,0.0020616054534912,0.3875083128611246,377,22.785017013549805,2.4002645015716553,24.501858,2.4002647,,,0.17726396917148363,0.5833333333333333
msk_1ua7_beta_100.0_seq_216.pdb,2170,-0.0001007318496704,0.3834169308344523,378,24.613710403442383,3.2430615425109863,29.289015,3.2430615,,,0.18579399486191395,0.16666666666666666
msk_1ua7_beta_100.0_seq_217.pdb,2180,-9.457270304324972e-06,0.3856866359710693,378,25.72517967224121,6.747122287750244,29.796791,6.747123,,,0.17987315350032113,0.08333333333333333
msk_1ua7_beta_100.0_seq_218.pdb,2190,0.0014692544937133,0.3913509845733642,379,27.131837844848633,7.257275581359863,32.339043,7.257275,,,0.17505619781631343,0.3333333333333333
msk_1ua7_beta_100.0_seq_219.pdb,2200,0.0139234066009521,0.408625324567159,380,26.05835723876953,16.497169494628906,28.516731,16.49717,,,0.15428307642903016,0.0
msk_1ua7_beta_100.0_seq_22.pdb,230,-0.0009852250417073,0.1413270632425943,166,4.155083179473877,0.24731124937534332,4.792799,0.24731128,,,0.6494861913937058,1.0
msk_1ua7_beta_100.0_seq_220.pdb,2210,0.0021795034408569,0.3950686852137247,381,23.731855392456055,13.235957145690918,27.538742,13.235957,,,0.1667068079640334,0.0
msk_1ua7_beta_100.0_seq_221.pdb,2220,0.0032055377960205,0.390897274017334,382,25.41743278503418,12.964689254760742,31.775814,12.964689,,,0.1633951509312781,0.0
msk_1ua7_beta_100.0_seq_222.pdb,2230,0.0049556493759155,0.3907612164815267,380,24.349018096923828,5.111582279205322,31.298597,5.1115823,,,0.17353082851637763,0.16666666666666666
msk_1ua7_beta_100.0_seq_223.pdb,2240,0.023993968963623,0.4064062436421712,379,21.556560516357422,1.7588467597961426,22.814442,1.7588465,,,0.19631101477199742,0.5
msk_1ua7_beta_100.0_seq_224.pdb,2250,0.0016557772954305,0.3966844876607259,379,20.814138412475586,1.8911737203598022,23.181353,1.8911741,,,0.20490125240847784,0.41666666666666663
msk_1ua7_beta_100.0_seq_225.pdb,2260,0.000200351079305,0.3920257091522217,379,20.973365783691406,1.9991466999053955,23.942226,1.9991467,,,0.20403821451509313,0.41666666666666663
msk_1ua7_beta_100.0_seq_226.pdb,2270,0.0052690505981445,0.3854564825693766,379,21.45474624633789,2.0951223373413086,22.413143,2.0951223,,,0.19420359666024406,0.5
msk_1ua7_beta_100.0_seq_227.pdb,2280,0.0083227554957072,0.3984814484914144,382,23.214292526245117,11.200106620788574,23.964695,11.200107,,,0.18657675016056519,0.25
msk_1ua7_beta_100.0_seq_228.pdb,2290,0.1108659903208414,0.5045442581176758,382,23.03900146484375,11.293397903442383,23.58639,11.293398,,,0.1871587989723828,0.25
